year_published,journal,title,abstract,lens_id,pmid
2012,Annals of internal medicine,Comparative Effectiveness and Safety of Methods of Insulin Delivery and Glucose Monitoring for Diabetes Mellitus: A Systematic Review and Meta-analysis,"Background Patients with diabetes mellitus need information about the effectiveness of innovations in insulin delivery and glucose monitoring. Purpose To review how intensive insulin therapy (multiple daily injections [MDI] vs. rapid-acting analogue-based continuous subcutaneous insulin infusion [CSII]) or method of monitoring (self-monitoring of blood glucose [SMBG] vs. real-time continuous glucose monitoring [rt-CGM]) affects outcomes in types 1 and 2 diabetes mellitus. Data sources MEDLINE, EMBASE, and the Cochrane Central Register of Controlled Trials through February 2012 without language restrictions. Study selection 33 randomized, controlled trials in children or adults that compared CSII with MDI (n=19), rt-CGM with SMBG (n=10), or sensor-augmented insulin pump use with MDI and SMBG (n=4). Data extraction 2 reviewers independently evaluated studies for eligibility and quality and serially abstracted data. Data synthesis In randomized, controlled trials, MDI and CSII showed similar effects on hemoglobin A1c (HbA1c) levels and severe hypoglycemia in children or adults with type 1 diabetes mellitus and adults with type 2 diabetes mellitus. In adults with type 1 diabetes mellitus, HbA1c levels decreased more with CSII than with MDI, but 1 study heavily influenced these results. Compared with SMBG, rt-CGM achieved a lower HbA1c level (between-group difference of change, 0.26% [95% CI, 0.33% to 0.19%]) without any difference in severe hypoglycemia. Sensor-augmented insulin pump use decreased HbA1c levels more than MDI and SMBG did in persons with type 1 diabetes mellitus (between-group difference of change, 0.68% [CI, 0.81% to 0.54%]). Little evidence was available on other outcomes. Limitation Many studies were small, of short duration, and limited to white persons with type 1 diabetes mellitus. Conclusion Continuous subcutaneous insulin infusion and MDI have similar effects on glycemic control and hypoglycemia, except CSII has a favorable effect on glycemic control in adults with type 1 diabetes mellitus. For glycemic control, rt-CGM is superior to SMBG and sensor-augmented insulin pumps are superior to MDI and SMBG without increasing the risk for hypoglycemia. Primary funding source Agency for Healthcare Research and Quality.",095-535-288-696-171,22777524
2016,BMJ (Clinical research ed.),Diabetes mellitus as a compelling indication for use of renin angiotensin system blockers: systematic review and meta-analysis of randomized trials,"Objective  To evaluate the outcomes with use of renin angiotensin system (RAS) blockers compared with other antihypertensive agents in people with diabetes. Design  Meta-analysis. Data sources and study selection  PubMed, Embase, and the Cochrane central register of controlled trials databases for randomized trials of RAS blockers versus other antihypertensive agents in people with diabetes mellitus. Outcomes were death, cardiovascular death, myocardial infarction, angina, stroke, heart failure, revascularization, and end stage renal disease. Results  The search yielded 19 randomized controlled trials that enrolled 25 414 participants with diabetes for a total of 95 910 patient years of follow-up. When compared with other antihypertensive agents, RAS blockers were associated with a similar risk of death (relative risk 0.99, 95% confidence interval 0.93 to 1.05), cardiovascular death (1.02, 0.83 to 1.24), myocardial infarction (0.87, 0.64 to 1.18), angina pectoris (0.80, 0.58 to 1.11), stroke (1.04, 0.92 to 1.17), heart failure (0.90, 0.76 to 1.07), and revascularization (0.97, 0.77 to 1.22). There was also no difference in the hard renal outcome of end stage renal disease (0.99, 0.78 to 1.28) (power of 94% to show a 23% reduction in end stage renal disease). Conclusions  In people with diabetes, RAS blockers are not superior to other antihypertensive drug classes such as thiazides, calcium channel blockers, and β blockers at reducing the risk of hard cardiovascular and renal endpoints. These findings support the recommendations of the guidelines of the European Society of Cardiology/European Society of Hypertension and eighth Joint National Committee on Prevention, Detection, Evaluation, and Treatment of High Blood Pressure to also use other antihypertensive agents in people with diabetes but without kidney disease.",108-526-256-087-617,26868137
2016,Annals of internal medicine,Preoperative Frailty Assessment and Outcomes at 6 Months or Later in Older Adults Undergoing Cardiac Surgical Procedures: A Systematic Review.,"Background Frailty assessment may inform surgical risk and prognosis not captured by conventional surgical risk scores. Purpose To evaluate the evidence for various frailty instruments used to predict mortality, functional status, or major adverse cardiovascular and cerebrovascular events (MACCEs) in older adults undergoing cardiac surgical procedures. Data sources MEDLINE and EMBASE (without language restrictions), from their inception to 2 May 2016. Study selection Cohort studies evaluating the association between frailty and mortality or functional status at 6 months or later in patients aged 60 years or older undergoing major or minimally invasive cardiac surgical procedures. Data extraction 2 reviewers independently extracted study data and assessed study quality. Data synthesis Mobility, disability, and nutrition were frequently assessed domains of frailty in both types of procedures. In patients undergoing major procedures (n = 18 388; 8 studies), 9 frailty instruments were evaluated. There was moderate-quality evidence to assess mobility or disability and very-low- to low-quality evidence for using a multicomponent instrument to predict mortality or MACCEs. No studies examined functional status. In patients undergoing minimally invasive procedures (n = 5177; 17 studies), 13 frailty instruments were evaluated. There was moderate- to high-quality evidence for assessing mobility to predict mortality or functional status. Several multicomponent instruments predicted mortality, functional status, or MACCEs, but the quality of evidence was low to moderate. Multicomponent instruments that measure different frailty domains seemed to outperform single-component ones. Limitation Heterogeneity of frailty assessment, limited generalizability of multicomponent frailty instruments, few validated frailty instruments, and potential publication bias. Conclusion Frailty status, assessed by mobility, disability, and nutritional status, may predict mortality at 6 months or later after major cardiac surgical procedures and functional decline after minimally invasive cardiac surgery. Primary funding source National Institute on Aging and National Heart, Lung, and Blood Institute.",109-150-898-193-87X,27548070
2013,Annals of internal medicine,Comparative Effectiveness of Treatments for Open-Angle Glaucoma: A Systematic Review for the U.S. Preventive Services Task Force,"ical treatment and trabeculectomy reduce the risk for optic nerve damage and visual field loss compared with no treatment. The direct effect of treatments on visual impairment and the comparative efficacy of different treatments are not clear. Harms of medical treatment are primarily local (ocular redness, irritation); surgical treatment carries a small risk for more serious complications. Limitation: Heterogeneous outcome definitions and measurements among the included studies; exclusion of many treatment studies that did not stratify results by glaucoma type. Conclusion: Medical and surgical treatments for open-angle glaucoma lower intraocular pressure and reduce the risk for optic nerve damage over the short to medium term. Which treatments best prevent visual disability and improve patient-reported outcomes is unclear.",111-375-254-122-389,23420235
2020,Annals of internal medicine,"Ventilation Techniques and Risk for Transmission of Coronavirus Disease, Including COVID-19: A Living Systematic Review of Multiple Streams of Evidence.","BACKGROUND: Mechanical ventilation is used to treat respiratory failure in coronavirus disease 2019 (COVID-19). PURPOSE: To review multiple streams of evidence regarding the benefits and harms of ventilation techniques for coronavirus infections, including that causing COVID-19. DATA SOURCES: 21 standard, World Health Organization-specific and COVID-19-specific databases, without language restrictions, until 1 May 2020. STUDY SELECTION: Studies of any design and language comparing different oxygenation approaches in patients with coronavirus infections, including severe acute respiratory syndrome (SARS) or Middle East respiratory syndrome (MERS), or with hypoxemic respiratory failure. Animal, mechanistic, laboratory, and preclinical evidence was gathered regarding aerosol dispersion of coronavirus. Studies evaluating risk for virus transmission to health care workers from aerosol-generating procedures (AGPs) were included. DATA EXTRACTION: Independent and duplicate screening, data abstraction, and risk-of-bias assessment (GRADE for certainty of evidence and AMSTAR 2 for included systematic reviews). DATA SYNTHESIS: 123 studies were eligible (45 on COVID-19, 70 on SARS, 8 on MERS), but only 5 studies (1 on COVID-19, 3 on SARS, 1 on MERS) adjusted for important confounders. A study in hospitalized patients with COVID-19 reported slightly higher mortality with noninvasive ventilation (NIV) than with invasive mechanical ventilation (IMV), but 2 opposing studies, 1 in patients with MERS and 1 in patients with SARS, suggest a reduction in mortality with NIV (very-low-certainty evidence). Two studies in patients with SARS report a reduction in mortality with NIV compared with no mechanical ventilation (low-certainty evidence). Two systematic reviews suggest a large reduction in mortality with NIV compared with conventional oxygen therapy. Other included studies suggest increased odds of transmission from AGPs. LIMITATION: Direct studies in COVID-19 are limited and poorly reported. CONCLUSION: Indirect and low-certainty evidence suggests that use of NIV, similar to IMV, probably reduces mortality but may increase the risk for transmission of COVID-19 to health care workers. PRIMARY FUNDING SOURCE: World Health Organization. (PROSPERO: CRD42020178187).",114-799-691-136-795,32442035
2016,JAMA,Developing a New Definition and Assessing New Clinical Criteria for Septic Shock: For the Third International Consensus Definitions for Sepsis and Septic Shock (Sepsis-3),"Importance Septic shock currently refers to a state of acute circulatory failure associated with infection. Emerging biological insights and reported variation in epidemiology challenge the validity of this definition. Objective To develop a new definition and clinical criteria for identifying septic shock in adults. Design, Setting, and Participants The Society of Critical Care Medicine and the European Society of Intensive Care Medicine convened a task force (19 participants) to revise current sepsis/septic shock definitions. Three sets of studies were conducted: (1) a systematic review and meta-analysis of observational studies in adults published between January 1, 1992, and December 25, 2015, to determine clinical criteria currently reported to identify septic shock and inform the Delphi process; (2) a Delphi study among the task force comprising 3 surveys and discussions of results from the systematic review, surveys, and cohort studies to achieve consensus on a new septic shock definition and clinical criteria; and (3) cohort studies to test variables identified by the Delphi process using Surviving Sepsis Campaign (SSC) (2005-2010; n = 28 150), University of Pittsburgh Medical Center (UPMC) (2010-2012; n = 1 309 025), and Kaiser Permanente Northern California (KPNC) (2009-2013; n = 1 847 165) electronic health record (EHR) data sets. Main Outcomes and Measures Evidence for and agreement on septic shock definitions and criteria. Results The systematic review identified 44 studies reporting septic shock outcomes (total of 166 479 patients) from a total of 92 sepsis epidemiology studies reporting different cutoffs and combinations for blood pressure (BP), fluid resuscitation, vasopressors, serum lactate level, and base deficit to identify septic shock. The septic shock–associated crude mortality was 46.5% (95% CI, 42.7%-50.3%), with significant between-study statistical heterogeneity ( I 2  = 99.5%; τ 2  = 182.5; P Conclusions and Relevance Based on a consensus process using results from a systematic review, surveys, and cohort studies, septic shock is defined as a subset of sepsis in which underlying circulatory, cellular, and metabolic abnormalities are associated with a greater risk of mortality than sepsis alone. Adult patients with septic shock can be identified using the clinical criteria of hypotension requiring vasopressor therapy to maintain mean BP 65 mm Hg or greater and having a serum lactate level greater than 2 mmol/L after adequate fluid resuscitation.",116-661-965-783-908,26903336
2015,BMJ (Clinical research ed.),Diagnostic prediction models for suspected pulmonary embolism: systematic review and independent external validation in primary care,"Objective To validate all diagnostic prediction models for ruling out pulmonary embolism that are easily applicable in primary care. Design Systematic review followed by independent external validation study to assess transportability of retrieved models to primary care medicine. Setting 300 general practices in the Netherlands. Participants Individual patient dataset of 598 patients with suspected acute pulmonary embolism in primary care. Main outcome measures Discriminative ability of all models retrieved by systematic literature search, assessed by calculation and comparison of C statistics. After stratification into groups with high and low probability of pulmonary embolism according to pre-specified model cut-offs combined with qualitative D-dimer test, sensitivity, specificity, efficiency (overall proportion of patients with low probability of pulmonary embolism), and failure rate (proportion of pulmonary embolism cases in group of patients with low probability) were calculated for all models. Results Ten published prediction models for the diagnosis of pulmonary embolism were found. Five of these models could be validated in the primary care dataset: the original Wells, modified Wells, simplified Wells, revised Geneva, and simplified revised Geneva models. Discriminative ability was comparable for all models (range of C statistic 0.75-0.80). Sensitivity ranged from 88% (simplified revised Geneva) to 96% (simplified Wells) and specificity from 48% (revised Geneva) to 53% (simplified revised Geneva). Efficiency of all models was between 43% and 48%. Differences were observed between failure rates, especially between the simplified Wells and the simplified revised Geneva models (failure rates 1.2% (95% confidence interval 0.2% to 3.3%) and 3.1% (1.4% to 5.9%), respectively; absolute difference −1.98% (−3.33% to −0.74%)). Irrespective of the diagnostic prediction model used, three patients were incorrectly classified as having low probability of pulmonary embolism; pulmonary embolism was diagnosed only after referral to secondary care. Conclusions Five diagnostic pulmonary embolism prediction models that are easily applicable in primary care were validated in this setting. Whereas efficiency was comparable for all rules, the Wells rules gave the best performance in terms of lower failure rates.",119-514-324-356-956,26349907
2012,BMJ (Clinical research ed.),White rice consumption and risk of type 2 diabetes: meta-analysis and systematic review,Objectives To summarise evidence on the association between white rice consumption and risk of type 2 diabetes and to quantify the potential dose-response relation.,120-983-545-337-086,22422870
2020,JAMA,Malpractice Liability and Health Care Quality: A Review.,"Importance The tort liability system is intended to serve 3 functions: compensate patients who sustain injury from negligence, provide corrective justice, and deter negligence. Deterrence, in theory, occurs because clinicians know that they may experience adverse consequences if they negligently injure patients. Objective To review empirical findings regarding the association between malpractice liability risk (ie, the extent to which clinicians face the threat of being sued and having to pay damages) and health care quality and safety. Data Sources and Study Selection Systematic search of multiple databases for studies published between January 1, 1990, and November 25, 2019, examining the relationship between malpractice liability risk measures and health outcomes or structural and process indicators of health care quality. Data Extraction and Synthesis Information on the exposure and outcome measures, results, and acknowledged limitations was extracted by 2 reviewers. Meta-analytic pooling was not possible due to variations in study designs; therefore, studies were summarized descriptively and assessed qualitatively. Main Outcomes and Measures Associations between malpractice risk measures and health care quality and safety outcomes. Exposure measures included physicians’ malpractice insurance premiums, state tort reforms, frequency of paid claims, average claim payment, physicians’ claims history, total malpractice payments, jury awards, the presence of an immunity from malpractice liability, the Centers for Medicare & Medicaid Services’ Medicare malpractice geographic practice cost index, and composite measures combining these measures. Outcome measures included patient mortality; hospital readmissions, avoidable admissions, and prolonged length of stay; receipt of cancer screening; Agency for Healthcare Research and Quality patient safety indicators and other measures of adverse events; measures of hospital and nursing home quality; and patient satisfaction. Results Thirty-seven studies were included; 28 examined hospital care only and 16 focused on obstetrical care. Among obstetrical care studies, 9 found no significant association between liability risk and outcomes (such as Apgar score and birth injuries) and 7 found limited evidence for an association. Among 20 studies of patient mortality in nonobstetrical care settings, 15 found no evidence of an association with liability risk and 5 found limited evidence. Among 7 studies that examined hospital readmissions and avoidable initial hospitalizations, none found evidence of an association between liability risk and outcomes. Among 12 studies of other measures (eg, patient safety indicators, process-of-care quality measures, patient satisfaction), 7 found no association between liability risk and these outcomes and 5 identified significant associations in some analyses. Conclusions and Relevance In this systematic review, most studies found no association between measures of malpractice liability risk and health care quality and outcomes. Although gaps in the evidence remain, the available findings suggested that greater tort liability, at least in its current form, was not associated with improved quality of care.",124-364-796-473-51X,31990319
2016,Annals of internal medicine,Comparative Effect of Contrast Media Type on the Incidence of Contrast-Induced Nephropathy: A Systematic Review and Meta-analysis.,"Background Iodine contrast media are essential components of many imaging procedures. An important potential side effect is contrast-induced nephropathy (CIN). Purpose To compare CIN risk for contrast media within and between osmolality classes in patients receiving diagnostic or therapeutic imaging procedures. Data sources PubMed, EMBASE, Cochrane Library, Clinical Trials.gov, and Scopus through June 2015. Study selection Randomized, controlled trials that reported CIN-related outcomes in patients receiving low-osmolar contrast media (LOCM) or iso-osmolar contrast media for imaging. Data extraction Independent study selection and quality assessment by 2 reviewers and dual extraction of study characteristics and results. Data synthesis None of the 5 studies that compared types of LOCM reported a statistically significant or clinically important difference among study groups, but the strength of evidence was low. Twenty-five randomized, controlled trials found a slight reduction in CIN risk with the iso-osmolar contrast media agent iodixanol compared with a diverse group of LOCM that just reached statistical significance in a meta-analysis (pooled relative risk, 0.80 [95% CI, 0.65 to 0.99]; P = 0.045). This comparison's strength of evidence was moderate. In a meta regression of randomized, controlled trials of iodixanol, no relationship was found between route of administration and comparative CIN risk. Limitations Few studies compared LOCM. Procedural details about contrast administration were not uniformly reported. Few studies specified clinical indications or severity of baseline renal impairment. Conclusion No differences were found in CIN risk among types of LOCM. Iodixanol had a slightly lower risk for CIN than LOCM, but the lower risk did not exceed a criterion for clinical importance. Primary funding source Agency for Healthcare Research and Quality.",126-363-262-990-537,26830055
2018,Annals of internal medicine,Clinical Outcomes Associated With Sickle Cell Trait: A Systematic Review,"Background Although sickle cell trait (SCT) is largely a benign carrier state, it may increase risk for certain clinical outcomes. Purpose To evaluate associations between SCT and clinical outcomes in children and adults. Data Sources English-language searches of PubMed, CINAHL, the Cochrane Library, Current Contents Connect, Scopus, and Embase (1 January 1970 to 30 June 2018) and bibliographies of review articles. Study Selection Observational controlled studies (published in English) in children or adults that examined an association between SCT and any of 24 clinical outcomes specified a priori in the following 6 categories: exertion-related injury; renal, vascular, pediatric, and surgery- or trauma-related outcomes; and overall mortality. Data Extraction A single reviewer extracted study data, which was checked by another; 2 reviewers independently assessed study quality; and strength of evidence was assessed by consensus. Data Synthesis Of 7083 screened studies, 41 met inclusion criteria. High-strength evidence supported a positive association between SCT and risk for pulmonary embolism, proteinuria, and chronic kidney disease. Moderate-strength evidence supported a positive association between SCT and exertional rhabdomyolysis and a null association between SCT and deep venous thrombosis, heart failure or cardiomyopathy, stroke, and pediatric height or weight. Absolute risks for thromboembolism and rhabdomyolysis were small. For the remaining 15 clinical outcomes, data were insufficient or strength of evidence was low. Limitation Publication bias was possible, and high-quality evidence was scant. Conclusion Sickle cell trait is a risk factor for a few adverse health outcomes, such as pulmonary embolism, kidney disease, and exertional rhabdomyolysis, but does not seem to be associated with such complications as heart failure and stroke. Insufficient data or low-strength evidence exists for most speculated complications of SCT. Primary Funding Source National Human Genome Research Institute.",127-974-425-132-932,30383109
2018,BMJ (Clinical research ed.),Comparative safety of immune checkpoint inhibitors in cancer: systematic review and network meta-analysis,"Abstract Objective To provide a complete toxicity profile, toxicity spectrum, and a safety ranking of immune checkpoint inhibitor (ICI) drugs for treatment of cancer. Design Systematic review and network meta-analysis. Data sources Electronic databases (PubMed, Embase, Cochrane Library, and Web of Science) were systematically searched to include relevant studies published in English between January 2007 and February 2018. Review methods Only head-to-head phase II and III randomised controlled trials comparing any two or three of the following treatments or different doses of the same ICI drug were included: nivolumab, pembrolizumab, ipilimumab, tremelimumab, atezolizumab, conventional therapy (chemotherapy, targeted therapy, and their combinations), two ICI drugs, or one ICI drug with conventional therapy. Eligible studies must have reported site, organ, or system level data on treatment related adverse events. High quality, single arm trials and placebo controlled trials on ICI drugs were selected to establish a validation group. Results 36 head-to-head phase II and III randomised trials (n=15 370) were included. The general safety of ICI drugs ranked from high to low for all adverse events was as follows: atezolizumab (probability 76%, pooled incidence 66.4%), nivolumab (56%, 71.8%), pembrolizumab (55%, 75.1%), ipilimumab (55%, 86.8%), and tremelimumab (54%, not applicable). The general safety of ICI drugs ranked from high to low for severe or life threatening adverse events was as follows: atezolizumab (49%, 15.1%), nivolumab (46%, 14.1%), pembrolizumab (72%, 19.8%), ipilimumab (51%, 28.6%), and tremelimumab (28%, not applicable). Compared with conventional therapy, treatment-related adverse events for ICI drugs occurred mainly in the skin, endocrine, hepatic, and pulmonary systems. Taking one ICI drug was generally safer than taking two ICI drugs or one ICI drug with conventional therapy. Among the five ICI drugs, atezolizumab had the highest risk of hypothyroidism, nausea, and vomiting. The predominant treatment-related adverse events for pembrolizumab were arthralgia, pneumonitis, and hepatic toxicities. The main treatment-related adverse events for ipilimumab were skin, gastrointestinal, and renal toxicities. Nivolumab had a narrow and mild toxicity spectrum, mainly causing endocrine toxicities. Integrated evidence from the pooled incidences, subgroup, and sensitivity analyses implied that nivolumab is the best option in terms of safety, especially for the treatment of lung cancer. Conclusions Compared with other ICI drugs used to treat cancer, atezolizumab had the best safety profile in general, and nivolumab had the best safety profile in lung cancer when taking an integrated approach. The safety ranking of treatments based on ICI drugs is modulated by specific treatment-related adverse events. Systematic review registration PROSPERO CRD42017082553.",142-827-941-055-05X,30409774
2020,"Lancet (London, England)",Efficacy and safety of lowering LDL cholesterol in older patients: a systematic review and meta-analysis of randomised controlled trials,"Summary Background The clinical benefit of LDL cholesterol lowering treatment in older patients remains debated. We aimed to summarise the evidence of LDL cholesterol lowering therapies in older patients. Methods In this systematic review and meta-analysis, we searched MEDLINE and Embase for articles published between March 1, 2015, and Aug 14, 2020, without any language restrictions. We included randomised controlled trials of cardiovascular outcomes of an LDL cholesterol-lowering drug recommended by the 2018 American College of Cardiology and American Heart Association guidelines, with a median follow-up of at least 2 years and data on older patients (aged ≥75 years). We excluded trials that exclusively enrolled participants with heart failure or on dialysis because guidelines do not recommend lipid-lowering therapy in such patients who do not have another indication. We extracted data for older patients using a standardised data form for aggregated study-level data. We meta-analysed the risk ratio (RR) for major vascular events (a composite of cardiovascular death, myocardial infarction or other acute coronary syndrome, stroke, or coronary revascularisation) per 1 mmol/L reduction in LDL cholesterol. Findings Data from six articles were included in the systematic review and meta-analysis, which included 24 trials from the Cholesterol Treatment Trialists' Collaboration meta-analysis plus five individual trials. Among 244 090 patients from 29 trials, 21 492 (8·8%) were aged at least 75 years, of whom 11 750 (54·7%) were from statin trials, 6209 (28·9%) from ezetimibe trials, and 3533 (16·4%) from PCSK9 inhibitor trials. Median follow-up ranged from 2·2 years to 6·0 years. LDL cholesterol lowering significantly reduced the risk of major vascular events (n=3519) in older patients by 26% per 1 mmol/L reduction in LDL cholesterol (RR 0·74 [95% CI 0·61–0·89]; p=0·0019), with no statistically significant difference with the risk reduction in patients younger than 75 years (0·85 [0·78–0·92]; pinteraction=0·37). Among older patients, RRs were not statistically different for statin (0·82 [0·73–0·91]) and non-statin treatment (0·67 [0·47–0·95]; pinteraction=0·64). The benefit of LDL cholesterol lowering in older patients was observed for each component of the composite, including cardiovascular death (0·85 [0·74–0·98]), myocardial infarction (0·80 [0·71–0·90]), stroke (0·73 [0·61–0·87]), and coronary revascularisation (0·80 [0·66–0·96]). Interpretation In patients aged 75 years and older, lipid lowering was as effective in reducing cardiovascular events as it was in patients younger than 75 years. These results should strengthen guideline recommendations for the use of lipid-lowering therapies, including non-statin treatment, in older patients. Funding None.",144-587-728-122-885,33186535
2020,Annals of internal medicine,Using Electronic Health Record Portals to Improve Patient Engagement: Research Priorities and Best Practices.,"Ninety percent of health care systems now offer patient portals to access electronic health records (EHRs) in the United States, but only 15% to 30% of patients use these platforms. Using PubMed, the authors identified 53 studies published from September 2013 to June 2019 that informed best practices and priorities for future research on patient engagement with EHR data through patient portals, These studies mostly involved outpatient settings and fell into 3 major categories: interventions to increase use of patient portals, usability testing of portal interfaces, and documentation of patient and clinician barriers to portal use. Interventions that used one-on-one patient training were associated with the highest portal use. Patients with limited health or digital literacy faced challenges to portal use. Clinicians reported a lack of workflows to support patient use of portals in routine practice. These studies suggest that achieving higher rates of patient engagement through EHR portals will require paying more attention to the needs of diverse patients and systematically measuring usability as well as scope of content. Future work should incorporate implementation science approaches and directly address the key role of clinicians and staff in promoting portal use.",144-671-092-559-767,32479176
2014,Annals of internal medicine,The accessibility of firearms and risk for suicide and homicide victimization among household members: a systematic review and meta-analysis,Debate surrounds whether access to firearms in the home increases the risk for violent death. This systematic review identified and evaluated studies that compared suicide and homicide victimizatio...,151-698-900-317-357,24592495
2019,BMJ (Clinical research ed.),Operative treatment versus nonoperative treatment of Achilles tendon ruptures : systematic review and meta-analysis,"Abstract Objectives To compare re-rupture rate, complication rate, and functional outcome after operative versus nonoperative treatment of Achilles tendon ruptures; to compare re-rupture rate after early and late full weight bearing; to evaluate re-rupture rate after functional rehabilitation with early range of motion; and to compare effect estimates from randomised controlled trials and observational studies. Design Systematic review and meta-analysis. Data sources PubMed/Medline, Embase, CENTRAL, and CINAHL databases were last searched on 25 April 2018 for studies comparing operative versus nonoperative treatment of Achilles tendon ruptures. Study selection criteria Randomised controlled trials and observational studies reporting on comparison of operative versus nonoperative treatment of acute Achilles tendon ruptures. Data extraction Data extraction was performed independently in pairs, by four reviewers, with the use of a predefined data extraction file. Outcomes were pooled using random effects models and presented as risk difference, risk ratio, or mean difference, with 95% confidence interval. Results 29 studies were included—10 randomised controlled trials and 19 observational studies. The 10 trials included 944 (6%) patients, and the 19 observational studies included 14 918 (94%) patients. A significant reduction in re-ruptures was seen after operative treatment (2.3%) compared with nonoperative treatment (3.9%) (risk difference 1.6%; risk ratio 0.43, 95% confidence interval 0.31 to 0.60; P Conclusions This meta-analysis shows that operative treatment of Achilles tendon ruptures reduces the risk of re-rupture compared with nonoperative treatment. However, re-rupture rates are low and differences between treatment groups are small (risk difference 1.6%). Operative treatment results in a higher risk of other complications (risk difference 3.3%). The final decision on the management of acute Achilles tendon ruptures should be based on patient specific factors and shared decision making. This review emphasises the potential benefits of adding high quality observational studies in meta-analyses for the evaluation of objective outcome measures after surgical treatment.",180-134-397-299-54X,30617123
2018,JAMA,Prevalence of Burnout Among Physicians: A Systematic Review,"Importance Burnout is a self-reported job-related syndrome increasingly recognized as a critical factor affecting physicians and their patients. An accurate estimate of burnout prevalence among physicians would have important health policy implications, but the overall prevalence is unknown. Objective To characterize the methods used to assess burnout and provide an estimate of the prevalence of physician burnout. Data Sources and Study Selection Systematic search of EMBASE, ERIC, MEDLINE/PubMed, psycARTICLES, and psycINFO for studies on the prevalence of burnout in practicing physicians (ie, excluding physicians in training) published before June 1, 2018. Data Extraction and Synthesis Burnout prevalence and study characteristics were extracted independently by 3 investigators. Although meta-analytic pooling was planned, variation in study designs and burnout ascertainment methods, as well as statistical heterogeneity, made quantitative pooling inappropriate. Therefore, studies were summarized descriptively and assessed qualitatively. Main Outcomes and Measures Point or period prevalence of burnout assessed by questionnaire. Results Burnout prevalence data were extracted from 182 studies involving 109 628 individuals in 45 countries published between 1991 and 2018. In all, 85.7% (156/182) of studies used a version of the Maslach Burnout Inventory (MBI) to assess burnout. Studies variably reported prevalence estimates of overall burnout or burnout subcomponents: 67.0% (122/182) on overall burnout, 72.0% (131/182) on emotional exhaustion, 68.1% (124/182) on depersonalization, and 63.2% (115/182) on low personal accomplishment. Studies used at least 142 unique definitions for meeting overall burnout or burnout subscale criteria, indicating substantial disagreement in the literature on what constituted burnout. Studies variably defined burnout based on predefined cutoff scores or sample quantiles and used markedly different cutoff definitions. Among studies using instruments based on the MBI, there were at least 47 distinct definitions of overall burnout prevalence and 29, 26, and 26 definitions of emotional exhaustion, depersonalization, and low personal accomplishment prevalence, respectively. Overall burnout prevalence ranged from 0% to 80.5%. Emotional exhaustion, depersonalization, and low personal accomplishment prevalence ranged from 0% to 86.2%, 0% to 89.9%, and 0% to 87.1%, respectively. Because of inconsistencies in definitions of and assessment methods for burnout across studies, associations between burnout and sex, age, geography, time, specialty, and depressive symptoms could not be reliably determined. Conclusions and Relevance In this systematic review, there was substantial variability in prevalence estimates of burnout among practicing physicians and marked variation in burnout definitions, assessment methods, and study quality. These findings preclude definitive conclusions about the prevalence of burnout and highlight the importance of developing a consensus definition of burnout and of standardizing measurement tools to assess the effects of chronic occupational stress on physicians.",184-902-850-552-924,30326495
2015,BMJ (Clinical research ed.),Blood glucose concentration and risk of pancreatic cancer: systematic review and dose-response meta-analysis.,"<AbstractText Label=""OBJECTIVE"">To evaluate potential linear and non-linear dose-response relations between blood glucose and risk of pancreatic cancer.</AbstractText>           <AbstractText Label=""DESIGN"">Systematic review and dose-response meta-analysis of prospective observational studies.</AbstractText>           <AbstractText Label=""DATA SOURCES"">Search of PubMed, Scopus, and related reviews before 30 November 2013 without language restriction.</AbstractText>           <AbstractText Label=""ELIGIBILITY CRITERIA"">Prospective studies evaluating the association between blood glucose concentration and pancreatic cancer. Retrospective and cross sectional studies excluded to avoid reverse causality.</AbstractText>           <AbstractText Label=""DATA EXTRACTION AND SYNTHESIS"">Two reviewers independently extracted relevant information and assessed study quality with the Newcastle-Ottawa scale. Random effects dose-response meta-analysis was conducted to assess potential linear and non-linear dose-response relations.</AbstractText>           <AbstractText Label=""RESULTS"">Nine studies were included for analysis, with a total of 2408 patients with pancreatic cancer. There was a strong linear dose-response association between fasting blood glucose concentration and the rate of pancreatic cancer across the range of prediabetes and diabetes. No non-linear association was detected. The pooled rate ratio of pancreatic cancer per 0.56 mmol/L (10 mg/dL) increase in fasting blood glucose was 1.14 (95% confidence interval 1.06 to 1.22; P&lt;0.001) without significant heterogeneity. Sensitivity analysis excluding blood glucose categories in the range of diabetes showed similar results (pooled rate ratio per 0.56 mmol/L increase in fasting blood glucose was 1.15, 95% confidence interval 1.05 to 1.27; P=0.003), strengthening the association between prediabetes and pancreatic cancer.</AbstractText>           <AbstractText Label=""CONCLUSIONS"">Every 0.56 mmol/L increase in fasting blood glucose is associated with a 14% increase in the rate of pancreatic cancer. As prediabetes can be improved or even reversed through lifestyle changes, early detection of prediabetes coupled with lifestyle changes could represent a viable strategy to curb the increasing incidence of pancreatic cancer.</AbstractText>           <CopyrightInformation>© Liao et al 2014.</CopyrightInformation>",198-696-110-855-149,25556126
